run,train_accuracy,val_accuracy,test_accuracy,epochs_trained,final_loss
0,0.9928571581840515,0.7880000472068787,0.7950000166893005,200,0.33794140815734863
1,1.0,0.7680000066757202,0.7940000295639038,200,0.4493516683578491
2,0.9928571581840515,0.7760000228881836,0.7930000424385071,200,0.32725653052330017
3,0.9928571581840515,0.7880000472068787,0.7920000553131104,200,0.349270224571228
4,1.0,0.7780000567436218,0.7880000472068787,200,0.41742143034935
5,1.0,0.7860000133514404,0.7990000247955322,200,0.3952144980430603
6,0.9928571581840515,0.7560000419616699,0.784000039100647,200,0.35368648171424866
7,1.0,0.7760000228881836,0.8040000200271606,200,0.3715519905090332
8,1.0,0.7760000228881836,0.7880000472068787,200,0.3680729568004608
9,1.0,0.7820000648498535,0.7930000424385071,200,0.36135923862457275
10,0.9928571581840515,0.7780000567436218,0.781000018119812,200,0.37601208686828613
11,1.0,0.7860000133514404,0.8070000410079956,200,0.3580492436885834
12,1.0,0.7740000486373901,0.7940000295639038,191,0.4204294681549072
13,1.0,0.7760000228881836,0.7860000133514404,200,0.3797256052494049
14,0.9928571581840515,0.784000039100647,0.7930000424385071,200,0.37909817695617676
15,1.0,0.7880000472068787,0.7940000295639038,200,0.40390729904174805
16,0.9928571581840515,0.7720000147819519,0.7930000424385071,200,0.4865165650844574
17,0.9928571581840515,0.7760000228881836,0.7920000553131104,200,0.5095886588096619
18,0.9928571581840515,0.7940000295639038,0.800000011920929,200,0.3837735652923584
19,0.9928571581840515,0.7780000567436218,0.7970000505447388,200,0.375671923160553
20,1.0,0.784000039100647,0.800000011920929,200,0.38800492882728577
21,0.9928571581840515,0.7660000324249268,0.7950000166893005,200,0.3798070549964905
22,1.0,0.7860000133514404,0.7930000424385071,200,0.3906715512275696
23,0.9928571581840515,0.7800000309944153,0.796000063419342,200,0.4059754014015198
24,1.0,0.784000039100647,0.7880000472068787,200,0.4030172526836395
25,0.9928571581840515,0.7880000472068787,0.7980000376701355,200,0.37750038504600525
26,0.9928571581840515,0.7820000648498535,0.8010000586509705,200,0.34898221492767334
27,1.0,0.7820000648498535,0.7930000424385071,200,0.34303364157676697
28,1.0,0.7760000228881836,0.796000063419342,200,0.40066832304000854
29,1.0,0.7740000486373901,0.7930000424385071,200,0.30703723430633545
30,1.0,0.7880000472068787,0.8010000586509705,200,0.36794260144233704
31,1.0,0.7920000553131104,0.7970000505447388,200,0.3633837103843689
32,0.9928571581840515,0.7660000324249268,0.8030000329017639,200,0.4098471701145172
33,0.9928571581840515,0.784000039100647,0.7980000376701355,200,0.4140763580799103
34,0.9928571581840515,0.7820000648498535,0.800000011920929,200,0.3369603157043457
35,0.9928571581840515,0.7920000553131104,0.8050000667572021,200,0.3999646306037903
36,1.0,0.7780000567436218,0.7990000247955322,200,0.4514973759651184
37,0.9928571581840515,0.7800000309944153,0.8020000457763672,200,0.3660068213939667
38,0.9928571581840515,0.784000039100647,0.8090000152587891,181,0.38980311155319214
39,1.0,0.796000063419342,0.8020000457763672,181,0.38152778148651123
40,1.0,0.7880000472068787,0.800000011920929,191,0.39351609349250793
41,0.9928571581840515,0.784000039100647,0.7970000505447388,200,0.3270277678966522
42,0.9928571581840515,0.7820000648498535,0.800000011920929,200,0.3844766914844513
43,0.9928571581840515,0.784000039100647,0.7970000505447388,200,0.4837978780269623
44,0.9928571581840515,0.784000039100647,0.8040000200271606,200,0.3881036639213562
45,1.0,0.7780000567436218,0.7980000376701355,191,0.3760736584663391
46,0.9928571581840515,0.7780000567436218,0.800000011920929,200,0.4229665696620941
47,1.0,0.7760000228881836,0.7980000376701355,191,0.3755094110965729
48,0.9928571581840515,0.7900000214576721,0.8030000329017639,200,0.4665685296058655
49,1.0,0.7800000309944153,0.784000039100647,200,0.3477674424648285
50,0.9928571581840515,0.784000039100647,0.7990000247955322,200,0.4219374656677246
51,0.9928571581840515,0.7540000081062317,0.784000039100647,200,0.3928922414779663
52,0.9928571581840515,0.7820000648498535,0.7910000085830688,200,0.4324522912502289
53,1.0,0.8020000457763672,0.7950000166893005,200,0.33591675758361816
54,0.9928571581840515,0.784000039100647,0.7880000472068787,200,0.3561091721057892
55,0.9928571581840515,0.7920000553131104,0.8080000281333923,200,0.4051409661769867
56,0.9928571581840515,0.7760000228881836,0.7880000472068787,200,0.3587411344051361
57,1.0,0.7800000309944153,0.7970000505447388,200,0.35846003890037537
58,1.0,0.784000039100647,0.8040000200271606,200,0.37504515051841736
59,1.0,0.7980000376701355,0.8050000667572021,200,0.4314560294151306
60,0.9928571581840515,0.7820000648498535,0.8020000457763672,200,0.38416630029678345
61,0.9928571581840515,0.7880000472068787,0.8130000233650208,200,0.3873237669467926
62,0.9928571581840515,0.7780000567436218,0.8030000329017639,200,0.3576906621456146
63,0.9928571581840515,0.7780000567436218,0.7860000133514404,200,0.37448057532310486
64,1.0,0.784000039100647,0.8090000152587891,181,0.3903864324092865
65,0.9928571581840515,0.7860000133514404,0.8030000329017639,200,0.4306492209434509
66,0.9928571581840515,0.7720000147819519,0.7940000295639038,200,0.36012002825737
67,1.0,0.7720000147819519,0.8010000586509705,200,0.36541852355003357
68,0.9928571581840515,0.7700000405311584,0.8090000152587891,200,0.3550540506839752
69,1.0,0.7880000472068787,0.8110000491142273,200,0.34384191036224365
70,1.0,0.7800000309944153,0.7950000166893005,200,0.36848875880241394
71,1.0,0.784000039100647,0.800000011920929,181,0.40712302923202515
72,1.0,0.7800000309944153,0.8010000586509705,181,0.4225319027900696
73,0.9928571581840515,0.7780000567436218,0.7910000085830688,200,0.35628339648246765
74,0.9928571581840515,0.7880000472068787,0.8140000104904175,200,0.36340704560279846
75,1.0,0.7820000648498535,0.7820000648498535,200,0.37446027994155884
76,0.9928571581840515,0.7720000147819519,0.7870000600814819,200,0.338518887758255
77,0.9928571581840515,0.7800000309944153,0.8080000281333923,200,0.4183603525161743
78,1.0,0.7800000309944153,0.8050000667572021,200,0.37544503808021545
79,0.9928571581840515,0.7680000066757202,0.7710000276565552,200,0.44001007080078125
80,0.9928571581840515,0.7660000324249268,0.7720000147819519,200,0.3885495960712433
81,0.9928571581840515,0.7740000486373901,0.7940000295639038,200,0.3868889808654785
82,1.0,0.7800000309944153,0.800000011920929,191,0.3531236946582794
83,0.9928571581840515,0.7800000309944153,0.7990000247955322,200,0.39454540610313416
84,0.9928571581840515,0.7740000486373901,0.796000063419342,200,0.3817310929298401
85,1.0,0.7880000472068787,0.7940000295639038,200,0.37578490376472473
86,0.9928571581840515,0.7640000581741333,0.8090000152587891,200,0.397610604763031
87,0.9928571581840515,0.7660000324249268,0.800000011920929,200,0.3816507160663605
88,1.0,0.7760000228881836,0.8110000491142273,200,0.358830988407135
89,0.9928571581840515,0.7740000486373901,0.800000011920929,200,0.39110878109931946
90,1.0,0.784000039100647,0.8010000586509705,200,0.376909464597702
91,1.0,0.7980000376701355,0.8090000152587891,200,0.43780961632728577
92,0.9928571581840515,0.7800000309944153,0.8020000457763672,200,0.3769510090351105
93,1.0,0.7860000133514404,0.784000039100647,200,0.35911229252815247
94,1.0,0.7720000147819519,0.7940000295639038,200,0.4176064133644104
95,1.0,0.7860000133514404,0.8020000457763672,191,0.3820897042751312
96,0.9928571581840515,0.784000039100647,0.7870000600814819,200,0.46880269050598145
97,0.9928571581840515,0.7780000567436218,0.8090000152587891,200,0.36882027983665466
98,1.0,0.7880000472068787,0.7950000166893005,200,0.3744505047798157
99,1.0,0.7900000214576721,0.7860000133514404,200,0.3294999599456787
